Metraje,Cantidad de habitaciones,Baños,apartment_type,project_name,project_url,project_description,project_c_time,project_m_time,project_img_url,project_zone,project_status,project_lat,project_lon,Parqueos,Cuotas desde,Precio desde,Incluye bodega,Incluye área de servicio
175m²,3,3.5,KIYO,ginza,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",2024-12-09T15:14:01+00:00,2024-12-09T15:29:47+00:00,https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,Null,14.588105201459944,-90.4916567656658,,,,,
209m²,4,4.5,HAIA,ginza,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",2024-12-09T15:14:01+00:00,2024-12-09T15:29:47+00:00,https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,Null,14.588105201459944,-90.4916567656658,,,,,
53.84m²,1,1.5,Tipo D,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,1,,"$148,000",,
51.51m²,1,1.5,Tipo E,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,1,,"$146,000",,
79.71m²,2,2,Tipo C1,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,2,,"$215,000",,
80.96m²,2,2,Tipo C2,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,2,,"$209,000",,
95.01m²,3,2,Tipo A1,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,2,,"$260,000",,
95.32m²,3,2,Tipo A2,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,2,,"$260,000",,
92.34m²,3,2,Tipo A3,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,2,,"$255,000",,
104.57m²,3,2,Tipo B,torre-ferran,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",2024-03-14T16:32:52+00:00,2024-05-20T23:50:10+00:00,https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,Null,14.5792444,-90.5209827,2,,"$270,000",,
