project_name,apartment_type,project_url,project_description,project_img_url,project_zone,project_status,project_lat,project_lon,apartment_m2,apartment_beds,apartment_baths,apartment_parking,apartment_has_serviceroom,apartment_has_storeroom,apartment_rent,apartment_price,project_c_date,project_m_date,apartment_rent_m2,apartment_price_m2
ginza,KIYO,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,,14.588105201459944,-90.4916567656658,175.0,3.0,3.5,,,,,,2024-12-09,2024-12-09,,
ginza,HAIA,https://citymap.com.gt/propiedades/ginza/,"Ubicados en Zona 15. Con apartamentos de 2, 3 o 4 habitaciones. Con más de 8 amenidades. Direccion: 21 AVENIDA A OO-89 VH2 ZONA 15, Ciudad de Guatemala. Gi za Apa tame tos e  zo a 15
U  co cepto de vida u ba a e  do de disf utas de la comodidad de te e  todos los se vicios a u a dista cia cami able,  odeado de sofisticació  y elega cia.
Descub e tu  uevo hoga .",https://citymap.com.gt/wp-content/uploads/2024/12/Ginza_Fachada-Frontal.jpg,zona-15,,14.588105201459944,-90.4916567656658,209.0,4.0,4.5,,,,,,2024-12-09,2024-12-09,,
torre-ferran,Tipo D,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,53.84,1.0,1.5,1.0,,,,148000.0,2024-03-14,2024-05-20,,2748.89
torre-ferran,Tipo E,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,51.51,1.0,1.5,1.0,,,,146000.0,2024-03-14,2024-05-20,,2834.4
torre-ferran,Tipo C1,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,79.71,2.0,2.0,2.0,,,,215000.0,2024-03-14,2024-05-20,,2697.28
torre-ferran,Tipo C2,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,80.96,2.0,2.0,2.0,,,,209000.0,2024-03-14,2024-05-20,,2581.52
torre-ferran,Tipo A1,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,95.01,3.0,2.0,2.0,,,,260000.0,2024-03-14,2024-05-20,,2736.55
torre-ferran,Tipo A2,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,95.32,3.0,2.0,2.0,,,,260000.0,2024-03-14,2024-05-20,,2727.65
torre-ferran,Tipo A3,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,92.34,3.0,2.0,2.0,,,,255000.0,2024-03-14,2024-05-20,,2761.53
torre-ferran,Tipo B,https://citymap.com.gt/propiedades/torre-ferran/,"Ubicados en Zona 14 con precio desde $938. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 3a. Avenida 17-41, Zona 14, Guatemala City, Guatemala.",https://citymap.com.gt/wp-content/uploads/2024/03/fachada-ferran-completa-nov-1024x1024-1.jpeg,zona-14,,14.5792444,-90.5209827,104.57,3.0,2.0,2.0,,,,270000.0,2024-03-14,2024-05-20,,2582.0
fore-muxbal,Apto 43.52m2,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,,14.562802061793466,-90.476525684826,43.52,1.0,1.0,1.0,,,,141089.74,2024-07-02,2025-01-21,,3241.95
fore-muxbal,Apto 46.13m2,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,,14.562802061793466,-90.476525684826,46.13,1.0,1.0,1.0,,,,,2024-07-02,2025-01-21,,
fore-muxbal,Apto 79.69m2,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,,14.562802061793466,-90.476525684826,79.69,2.0,2.0,2.0,,,,208974.36,2024-07-02,2025-01-21,,2622.34
fore-muxbal,Apto 82.96m2,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,,14.562802061793466,-90.476525684826,82.96,2.0,2.0,2.0,,,,,2024-07-02,2025-01-21,,
fore-muxbal,Apto 92.54m2,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,,14.562802061793466,-90.476525684826,92.54,3.0,2.0,2.0,,,,231410.26,2024-07-02,2025-01-21,,2500.65
fore-muxbal,Apto 103.87m2,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,,14.562802061793466,-90.476525684826,103.87,3.0,2.0,2.0,,,,,2024-07-02,2025-01-21,,
ativo-apartamentos,Estilo N1-1D,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,,14.5740519962143,-90.52670085341042,44.0,1.0,1.0,1.0,,,,119000.0,2021-07-19,2024-06-13,,2704.55
ativo-apartamentos,Estilo NT3,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,,14.5740519962143,-90.52670085341042,32.0,1.0,1.0,1.0,,,,102000.0,2021-07-19,2024-06-13,,3187.5
ativo-apartamentos,Estilo NT4,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,,14.5740519962143,-90.52670085341042,34.0,1.0,1.0,1.0,,,,107000.0,2021-07-19,2024-06-13,,3147.06
ativo-apartamentos,Estilo N1-2D,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,,14.5740519962143,-90.52670085341042,111.0,2.0,2.0,1.0,,,,215000.0,2021-07-19,2024-06-13,,1936.94
ativo-apartamentos,Estilo NT1,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,,14.5740519962143,-90.52670085341042,49.0,2.0,1.0,1.0,,,,142000.0,2021-07-19,2024-06-13,,2897.96
ativo-apartamentos,Estilo NT2,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,,14.5740519962143,-90.52670085341042,70.0,2.0,2.0,2.0,,,,188000.0,2021-07-19,2024-06-13,,2685.71
